ticket_id,user_input_text,category,priority,user_name,device,application,system,error_message,department,annotated_for_ner,cleaned_input
T1001,LAN connection not working,Hardware Issue,Low,None,None,None,None,None,Finance,no,lan connection not working
T1002,Internet is very slow today,Hardware Issue,Medium,None,None,None,None,None,Sales,no,internet is very slow today
T1003,Keyboard keys not responding properly,Other / General Support,Medium,None,None,None,None,None,Admin,no,keyboard keys not responding properly
T1004,Anita reports: Application crashes when opening in Teams on SRV-22,Hardware Issue,Low,Anita,mouse,Teams,SRV-22,None,Sales,yes,anita reports application crashes when opening in teams on srv-22
T1005,Email delivery delayed,Hardware Issue,Low,None,None,None,None,None,Operations,no,email delivery delayed
T1006,Mouse not detected after system restart,Access / Authentication Issue,High,None,None,None,None,None,Admin,no,mouse not detected after system restart
T1007,Unable to login due to access denied,Software Issue,Low,None,None,None,None,None,Sales,no,unable to login due to access denied
T1008,VPN not connecting from home,Email / Communication Issue,High,None,None,None,None,None,Finance,no,vpn not connecting from home
T1009,Karan reports: VPN not connecting from home in Excel on SRV-25,Access / Authentication Issue,High,Karan,keyboard,Excel,SRV-25,None,Finance,yes,karan reports vpn not connecting from home in excel on srv-25
T1010,Priya reports: Email delivery delayed in InternalTool showing 404 error,Email / Communication Issue,High,Priya,None,InternalTool,None,404 error,Operations,yes,priya reports email delivery delayed in internaltool showing 404 error
T1011,Karan reports: Outlook not syncing emails,Email / Communication Issue,High,Karan,None,None,None,None,IT,yes,karan reports outlook not syncing emails
T1012,VPN not connecting from home,Hardware Issue,High,None,None,None,None,None,Sales,no,vpn not connecting from home
T1013,Outlook not syncing emails,Email / Communication Issue,Medium,None,None,None,None,None,Finance,no,outlook not syncing emails
T1014,Unable to login due to access denied,Network Issue,Low,None,None,None,None,None,HR,no,unable to login due to access denied
T1015,LAN connection not working,Access / Authentication Issue,High,None,None,None,None,None,Sales,no,lan connection not working
T1016,Keyboard keys not responding properly,Network Issue,Low,None,None,None,None,None,Admin,no,keyboard keys not responding properly
T1017,Anita reports: Software installation failing with error in Chrome,Access / Authentication Issue,High,Anita,None,Chrome,None,None,Sales,yes,anita reports software installation failing with error in chrome
T1018,Software installation failing with error,Other / General Support,High,None,None,None,None,None,Operations,no,software installation failing with error
T1019,Internet is very slow today,Other / General Support,High,None,None,None,None,None,Admin,no,internet is very slow today
T1020,Application crashes when opening,Network Issue,High,None,None,None,None,None,IT,no,application crashes when opening
T1021,Mouse not detected after system restart showing slow performance,Other / General Support,Medium,None,None,None,None,slow performance,Admin,yes,mouse not detected after system restart showing slow performance
T1022,Karan reports: VPN not connecting from home in Teams on SRV-47 showing access denied,Access / Authentication Issue,High,Karan,keyboard,Teams,SRV-47,access denied,HR,yes,karan reports vpn not connecting from home in teams on srv-47 showing access denied
T1023,Neha reports: LAN connection not working in VPN on SRV-10 showing login failed,Software Issue,Low,Neha,keyboard,VPN,SRV-10,login failed,Admin,yes,neha reports lan connection not working in vpn on srv-10 showing login failed
T1024,Unable to login due to access denied on SRV-58 showing login failed,Other / General Support,Low,None,None,None,SRV-58,login failed,HR,yes,unable to login due to access denied on srv-58 showing login failed
T1025,Mouse not detected after system restart,Email / Communication Issue,High,None,None,None,None,None,HR,yes,mouse not detected after system restart
T1026,Application crashes when opening,Software Issue,High,None,None,None,None,None,IT,no,application crashes when opening
T1027,Email delivery delayed,Access / Authentication Issue,High,None,None,None,None,None,IT,no,email delivery delayed
T1028,Sneha reports: Outlook not syncing emails in SAP on SRV-57 showing connection timeout,Software Issue,Medium,Sneha,monitor,SAP,SRV-57,connection timeout,Operations,yes,sneha reports outlook not syncing emails in sap on srv-57 showing connection timeout
T1029,Mouse not detected after system restart,Access / Authentication Issue,Medium,None,None,None,None,None,Sales,no,mouse not detected after system restart
T1030,Outlook not syncing emails,Email / Communication Issue,Low,None,None,None,None,None,Sales,no,outlook not syncing emails
T1031,VPN not connecting from home,Email / Communication Issue,High,None,None,None,None,None,IT,no,vpn not connecting from home
T1032,Keyboard keys not responding properly,Hardware Issue,Low,None,None,None,None,None,Admin,no,keyboard keys not responding properly
T1033,Outlook not syncing emails,Email / Communication Issue,Low,None,None,None,None,None,Admin,no,outlook not syncing emails
T1034,VPN not connecting from home,Network Issue,Medium,None,None,None,None,None,HR,no,vpn not connecting from home
T1035,Keyboard keys not responding properly,Access / Authentication Issue,Low,None,None,None,None,None,Admin,no,keyboard keys not responding properly
T1036,Unable to login due to access denied on SRV-15,Hardware Issue,Medium,None,None,None,SRV-15,None,Admin,yes,unable to login due to access denied on srv-15
T1037,Unable to login due to access denied,Network Issue,High,None,None,None,None,None,HR,no,unable to login due to access denied
T1038,LAN connection not working,Hardware Issue,Low,None,None,None,None,None,Finance,no,lan connection not working
T1039,Email delivery delayed,Network Issue,High,None,None,None,None,None,Operations,no,email delivery delayed
T1040,VPN not connecting from home,Hardware Issue,Low,None,None,None,None,None,Finance,no,vpn not connecting from home
T1041,Email delivery delayed,Hardware Issue,Medium,None,None,None,None,None,Sales,no,email delivery delayed
T1042,Software installation failing with error,Network Issue,High,None,None,None,None,None,Operations,no,software installation failing with error
T1043,Sneha reports: Software installation failing with error in VPN,Hardware Issue,Low,Sneha,keyboard,VPN,None,None,Operations,yes,sneha reports software installation failing with error in vpn
T1044,Unable to login due to access denied,Email / Communication Issue,Medium,None,None,None,None,None,Operations,no,unable to login due to access denied
T1045,Application crashes when opening,Access / Authentication Issue,Low,None,None,None,None,None,HR,no,application crashes when opening
T1046,Internet is very slow today,Hardware Issue,Medium,None,None,None,None,None,Operations,no,internet is very slow today
T1047,Mouse not detected after system restart,Software Issue,Medium,None,None,None,None,None,Finance,no,mouse not detected after system restart
T1048,Internet is very slow today,Access / Authentication Issue,Low,None,None,None,None,None,HR,no,internet is very slow today
T1049,Email delivery delayed,Software Issue,Low,None,None,None,None,None,Operations,no,email delivery delayed
T1050,Keyboard keys not responding properly in SAP on SRV-14 showing server not reachable,Other / General Support,Low,None,monitor,SAP,SRV-14,server not reachable,Finance,yes,keyboard keys not responding properly in sap on srv-14 showing server not reachable
T1051,LAN connection not working,Software Issue,High,None,None,None,None,None,Finance,no,lan connection not working
T1052,Keyboard keys not responding properly,Network Issue,Medium,None,None,None,None,None,Finance,no,keyboard keys not responding properly
T1053,Software installation failing with error,Other / General Support,High,None,desktop,None,None,None,Admin,yes,software installation failing with error
T1054,VPN not connecting from home,Email / Communication Issue,Medium,None,None,None,None,None,Operations,no,vpn not connecting from home
T1055,Email delivery delayed,Access / Authentication Issue,Low,None,None,None,None,None,HR,no,email delivery delayed
T1056,VPN not connecting from home in Chrome showing server not reachable,Software Issue,Medium,None,laptop,Chrome,None,server not reachable,Admin,yes,vpn not connecting from home in chrome showing server not reachable
T1057,Mouse not detected after system restart,Hardware Issue,Medium,None,None,None,None,None,IT,no,mouse not detected after system restart
T1058,Unable to login due to access denied,Access / Authentication Issue,Low,None,None,None,None,None,Operations,no,unable to login due to access denied
T1059,Software installation failing with error,Access / Authentication Issue,Medium,None,None,None,None,None,HR,no,software installation failing with error
T1060,VPN not connecting from home,Network Issue,Low,None,None,None,None,None,Operations,no,vpn not connecting from home
T1061,Outlook not syncing emails,Software Issue,High,None,None,None,None,None,Finance,no,outlook not syncing emails
T1062,Mouse not detected after system restart,Email / Communication Issue,High,None,None,None,None,None,IT,no,mouse not detected after system restart
T1063,Karan reports: Mouse not detected after system restart in SAP on SRV-24,Email / Communication Issue,Low,Karan,None,SAP,SRV-24,None,Admin,yes,karan reports mouse not detected after system restart in sap on srv-24
T1064,Internet is very slow today,Email / Communication Issue,High,None,None,None,None,None,IT,no,internet is very slow today
T1065,Application crashes when opening,Software Issue,Low,None,None,None,None,None,HR,no,application crashes when opening
T1066,Application crashes when opening,Access / Authentication Issue,Low,None,None,None,None,None,Sales,no,application crashes when opening
T1067,Keyboard keys not responding properly,Hardware Issue,High,None,None,None,None,None,Sales,no,keyboard keys not responding properly
T1068,VPN not connecting from home,Access / Authentication Issue,Low,None,None,None,None,None,Admin,no,vpn not connecting from home
T1069,VPN not connecting from home,Network Issue,Medium,None,None,None,None,None,IT,no,vpn not connecting from home
T1070,Karan reports: Unable to login due to access denied in Teams on SRV-28,Software Issue,Low,Karan,mouse,Teams,SRV-28,None,Admin,yes,karan reports unable to login due to access denied in teams on srv-28
T1071,Mouse not detected after system restart,Access / Authentication Issue,Low,None,None,None,None,None,Admin,no,mouse not detected after system restart
